company,ownership,year,revenue,predicted_revenue,error,abs_error,pct_error
"Enbridge Energy, Limited Partnership",ENB (100.000%),2025,,3090128116.6950054,,,
"TransCanada Keystone Pipeline, LP",TRP (100.000%),2025,,1418548452.6534734,,,
Colonial Pipeline Company,"Caisse de dépôt et placement du Québec (16.600%) | IFM INVESTORS PTY LTD (15.800%) | KKR-KEATS CAPITAL PARTNERS L.P. (23.400%) | KOCH INDUSTRIES, INC. (28.100%) | SHLX (16.100%)",2025,,1400081093.1079915,,,
Capline Pipeline Company LLC,UNKNOWN,2025,,1209356183.464169,,,
"Dakota Access, LLC",ENB (28.000%) | ET (38.000%) | MPLX (9.000%) | PSXP (25.000%),2025,,1198140134.2633698,,,
Enbridge Pipelines (FSP) L.L.C.,ENB (100.000%),2025,,1169793764.7423332,,,
"Magellan Pipeline Company, L.P.",MMP (100.000%),2025,,915853198.9577601,,,
Sunoco Pipeline L.P.,ET (100.000%),2025,,901276641.6269538,,,
Enterprise TE Products Pipeline Company LLC,EPD (100.000%),2025,,878224516.4855429,,,
"ONEOK Arbuckle II Pipeline, L.L.C.",OKE (100.000%),2025,,751591690.7273729,,,
"Enbridge Energy, Limited Partnership",ENB (100.000%),2026,,3488487070.969985,,,
Colonial Pipeline Company,"Caisse de dépôt et placement du Québec (16.600%) | IFM INVESTORS PTY LTD (15.800%) | KKR-KEATS CAPITAL PARTNERS L.P. (23.400%) | KOCH INDUSTRIES, INC. (28.100%) | SHLX (16.100%)",2026,,1479898576.9707325,,,
"TransCanada Keystone Pipeline, LP",TRP (100.000%),2026,,1460434324.523325,,,
Capline Pipeline Company LLC,UNKNOWN,2026,,1375313900.4591365,,,
"Dakota Access, LLC",ENB (28.000%) | ET (38.000%) | MPLX (9.000%) | PSXP (25.000%),2026,,1316339912.672967,,,
Enbridge Pipelines (FSP) L.L.C.,ENB (100.000%),2026,,1271966513.3395455,,,
"Magellan Pipeline Company, L.P.",MMP (100.000%),2026,,1024846284.3562356,,,
"ONEOK Arbuckle II Pipeline, L.L.C.",OKE (100.000%),2026,,946691012.8323623,,,
Enterprise TE Products Pipeline Company LLC,EPD (100.000%),2026,,938472132.4460524,,,
Sunoco Pipeline L.P.,ET (100.000%),2026,,899474751.2908621,,,
"Enbridge Energy, Limited Partnership",ENB (100.000%),2027,,3938199836.6269927,,,
Colonial Pipeline Company,"Caisse de dépôt et placement du Québec (16.600%) | IFM INVESTORS PTY LTD (15.800%) | KKR-KEATS CAPITAL PARTNERS L.P. (23.400%) | KOCH INDUSTRIES, INC. (28.100%) | SHLX (16.100%)",2027,,1564266390.6404684,,,
Capline Pipeline Company LLC,UNKNOWN,2027,,1564045688.6555994,,,
"TransCanada Keystone Pipeline, LP",TRP (100.000%),2027,,1503556972.0979583,,,
"Dakota Access, LLC",ENB (28.000%) | ET (38.000%) | MPLX (9.000%) | PSXP (25.000%),2027,,1446200420.2548385,,,
Enbridge Pipelines (FSP) L.L.C.,ENB (100.000%),2027,,1383063288.4365985,,,
"ONEOK Arbuckle II Pipeline, L.L.C.",OKE (100.000%),2027,,1192434515.754451,,,
"Magellan Pipeline Company, L.P.",MMP (100.000%),2027,,1146810326.976019,,,
Plains Oryx Permian Basin Pipeline LLC,UNKNOWN,2027,,1114184643.333515,,,
Enterprise TE Products Pipeline Company LLC,EPD (100.000%),2027,,1002852831.8730206,,,
